sentence_index,sentence
358,"This is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak ."
359,"Compelling revenge thriller , though somewhat weakened by a miscast leading lady ."
360,"It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family ."
361,"A whole lot foul , freaky and funny ."
362,Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .
363,"The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time ."
364,"The Pianist is a fine valedictory work for Polanski , made richer by his own experiences , making his other movies somehow richer in the bargain ."
365,"Foster nails the role , giving a tight , focused performance illuminated by shards of feeling ."
366,"Even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of Vardalos ' humor , which transcends ethnic boundaries ."
367,Is office work really as alienating as ` Bartleby ' so effectively makes it ?
368,Farrell ... thankfully manages to outshine the role and successfully plays the foil to Willis 's world-weary colonel .
369,"Audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit ."
370,Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .
371,An intriguing and entertaining introduction to Johnson .
372,"As expected , Sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances ."
373,A model of what films like this should be like .
374,"As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create ."
375,"Yeah , these flicks are just that damn good ."
376,Is n't it great ?
377,An unbelievably fun film just a leading man away from perfection .
378,"Over-the-top and a bit ostentatious , this is a movie that 's got oodles of style and substance ."
379,... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .
380,Nicely serves as an examination of a society in transition .
381,"A tender and touching drama , based on the true story of a troubled African-American 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle ."
382,As a randy film about sexy people in gorgeous places being pushed and pulled -LRB- literally and figuratively -RRB- by desire ... -LRB- Sex and LucÃ­a -RRB- makes for an arousing good time .
383,Absorbing character study by AndrÃ© Turpin .
384,"Celebrated at Sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat ."
385,"Renner 's performance as Dahmer is unforgettable , deeply absorbing ."
386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch ."
387,"If you love reading and\/or poetry , then by all means check it out ."
388,You 'll probably love it .
389,"Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance ."
390,Energetic and boldly provocative .
391,Star Wars is back in a major way .
392,It 's a movie -- and an album -- you wo n't want to miss .
393,"It 's rare to find a film that dazzles the eye , challenges the brain , AND satisfies our lust for fast-paced action , but Minority Report delivers all that and a whole lot more ."
394,"While not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in Girls Ca n't Swim ."
395,"If there 's nothing fresh about Wannabes , which was written by Mr. DeMeo , who produced and directed the film with Charles A. Addessi , much of the time the movie feels authentic ."
396,Jacquot 's Tosca is a treat .
397,"By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster ."
398,"If you liked such movies as Notting Hill , Four Weddings And A Funeral , Bridget Jones ' Diary or High Fidelity , then you wo n't want to miss About A Boy ."
399,... the gentle melding of drama and comedy makes `` What Time Is It There ? ''
400,something the true film buff will enjoy .
401,"Romanek keeps the film constantly taut ... reflecting the character 's instability with a metaphorical visual style and an unnerving , heartbeat-like score ."
402,I whole-heartedly recommend that everyone see this movie -- for its historical significance alone .
403,"Hey , who else needs a shower ?"
404,"Longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days ."
405,"Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious ."
406,"Often gruelling and heartbreaking to witness , but Seldahl and Wollter 's sterling performances raise this far above the level of the usual maudlin disease movie ."
407,Go see it and enjoy .
408,"The stunning , dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension ."
409,George Clooney proves he 's quite a talented director and Sam Rockwell shows us he 's a world-class actor with Confessions of a Dangerous Mind .
410,There 's a vastness implied in Metropolis that is just breathtaking .
411,Murderous Maids may well be the most comprehensive of these films and also strike closest to the truth .
412,"The people in Dogtown and Z-Boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next ."
413,"As green-guts monster movies go , it 's a beaut ."
414,"As Bundy , Michael Reilly Burke -LRB- Octopus 2 : River of Fear -RRB- has just the right amount of charisma and menace ."
415,"A deceivingly simple film , one that grows in power in retrospect ."
416,"Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible ."
417,"A slick , skillful little horror film ."
418,"A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth ."
419,-LRB- Anderson -RRB- uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense .
420,Bubba Ho-Tep is a wonderful film with a bravura lead performance by Bruce Campbell that does n't deserve to leave the building until everyone is aware of it .
421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''"
422,Bullock does a good job here of working against her natural likability .
423,A film of precious increments artfully camouflaged as everyday activities .
424,Kinnear gives a tremendous performance .
425,The best movie of its kind since ` Brazil . '
426,"Lucas , take notes ."
427,This is how you use special effects .
428,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''"
429,near the end takes on a whole other meaning .
430,One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .
431,Kaufman creates an eerie sense of not only being there at the time of these events but the very night Matthew was killed .
432,"Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws ."
433,"Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time ."
434,"It represents better-than-average movie-making that does n't demand a dumb , distracted audience ."
435,A charming yet poignant tale of the irrevocable ties that bind .
436,An enchanting spectacular for Potter fans anxious to ride the Hogwarts Express toward a new year of magic and mischief .
437,The talents of the actors helps `` Moonlight Mile '' rise above its heart-on-its-sleeve writing .
438,"It 's a humble effort , but spiced with wry humor and genuine pathos , especially between Morgan and Redgrave ."
439,This examination of aquatic life off the shores of the Baja California peninsula of Mexico offers an engrossing way to demonstrate the virtues of the IMAX format .
440,"Dark and disturbing , but also surprisingly funny ."
441,The movie has an avalanche of eye-popping visual effects .
442,"Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end ."
443,It 's still worth a look .
444,"Most impressive , though , is the film 's open-ended finale that refuses to entirely close its characters ' emotional wounds ."
445,"A hip ride into hyper-time , Clockstoppers is a lively and enjoyable adventure for all ages at any time ."
446,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue ."
447,... a polished and relatively sincere piece of escapism .
448,"The story wraps back around on itself in the kind of elegant symmetry that 's rare in film today , but be warned : It 's a slow slog to get there ."
449,"The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by ."
450,... has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive .
451,"It 's a sly wink to The Others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic ."
452,"Long after you leave Justine , you 'll be wondering what will happen to her and wishing her the best -- whatever that might mean ."
453,"Still pretentious and filled with subtext , but entertaining enough at ` face value ' to recommend to anyone looking for something different ."
454,"Call me a wimp , but I cried , not once , but three times in this animated sweet film ."
455,Notorious C.H.O. has oodles of vulgar highlights .
456,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975 .
457,"The level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter ."
458,"A splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience ."
459,"Disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem ."
460,"If the message seems more facile than the earlier films , the images have such a terrible beauty you may not care ."
461,"Whether Kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion ."
462,There are moments in this account of the life of artist Frida Kahlo that are among cinema 's finest this year .
463,"Unfortunately , they 're sandwiched in between the most impossibly dry account of Kahlo 's life imaginable ."
464,There are moments it can be heart-rending in an honest and unaffected -LRB- and gentle -RRB- way .
465,Stay clear of reminding yourself that it 's a `` true story '' and you 're likely to have one helluva time at the movies .
466,There are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .
467,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .
468,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing ."
469,"Working from Elliott 's memoir , Rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades ."
470,"The story feels more like a serious read , filled with heavy doses of always enticing Sayles dialogue ."
471,When it really counts ... Bloody Sunday connects on a visceral level that transcends language .
472,"The crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us ."
473,The actors are fantastic .
474,They are what makes it worth the trip to the theatre .
475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum ."
476,"I complain all the time about seeing the same ideas repeated in films over and over again , but The Bourne Identity proves that a fresh take is always possible ."
477,Recalls quiet freak-outs like L'Avventura and Repulsion .
478,"Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents ."
479,... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement .
480,A great comedy filmmaker knows great comedy need n't always make us laugh .
481,Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .
482,The movie is one of the best examples of artful Large Format filmmaking you are likely to see anytime soon .
483,"Lends itself to the narcotizing bland -LRB- sinister , though not nearly so sinister as the biennial Disney girl movie -RRB- machinations of the biennial Disney boy movie ."
484,"Well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull ."
485,"Jason X has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot ."
486,"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work ."
487,This is n't a new idea .
488,It 's been done before but never so vividly or with so much passion .
489,An impressive if flawed effort that indicates real talent .
490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .
491,"it sounds sick and twisted , but the miracle of Shainberg 's film is that it truly is romance"
492,Disturbing and brilliant documentary .
493,"... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return ."
494,"One of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken ."
495,Not too far below the gloss you can still feel director Denis Villeneuve 's beating heart and the fondness he has for his characters .
496,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness ."
497,Her film is unrelentingly claustrophobic and unpleasant .
498,-LRB- Villeneuve -RRB- seems to realize intuitively that even morality is reduced to an option by the ultimate mysteries of life and death .
499,The result is mesmerizing -- filled with menace and squalor .
500,Fisher has bared his soul and confronted his own shortcomings here in a way ... that feels very human and very true to life .
501,"It 's fun , but the code-talk will fly right over everyone 's head"
502,"Bourne , Jason Bourne ."
503,"He can scale a building like a super hero , he can out-stealth any agent , he 'll get the girl ."
504,He 's Super Spy !
505,What makes the movie a comedy is the way it avoids the more serious emotions involved .
506,"This cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap ."
507,"The pleasures of Super Troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor ."
508,"The film is exhilarating to watch because Sandler , liberated from the constraints of formula , reveals unexpected depths as an actor ."
509,"A distant , even sterile , yet compulsively watchable look at the sordid life of Hogan 's Heroes star Bob Crane ."
510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days ."
511,What might have been a predictably heartwarming tale is suffused with complexity .
512,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress ."
513,"Although very much like the first movie based on J.K. Rowling 's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude ."
514,-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .
515,"As the story moves inexorably through its seven day timeframe , the picture becomes increasingly mesmerizing ."
516,Maguire is a surprisingly effective Peter\/Spider-Man .
517,"Not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it ."
518,The film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .
519,It has fun being grown up .
520,Like old myths and wonder tales spun afresh .
521,"Rarely do films come along that are as intelligent , exuberant , and moving as Monsoon Wedding ."
522,One scarcely needs the subtitles to enjoy this colorful action farce .
523,Quite funny for the type of movie it is ...
524,"It 's often infuriatingly glib and posturing , and yet it has been made with great evident care and manages to deliver up the man in a way to arouse further curiosity in even the most unknowing viewer ."
525,One of -LRB- Herzog 's -RRB- least inspired works .
526,"This boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of Chinese , one which can only qualify as a terrible tragedy ."
527,"Elling really is about a couple of crazy guys , and it 's therapeutic to laugh along with them ."
528,An irresistible combination of a rousing good story set on a truly grand scale .
529,There 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances .
530,Few films this year have been as resolute in their emotional nakedness .
531,"Exquisitely acted and masterfully if preciously interwoven ... -LRB- the film -RRB- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce ."
532,"Stevenson 's performance is at once clueless and fiercely committed , a volatile combination ."
533,This is a very fine movie -- go see it .
534,"As shaky as the plot is , Kaufman 's script is still memorable for some great one-liners ."
535,"Despite its flaws , Secretary stays in your head and makes you question your own firmly held positions ."
536,"One of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind ."
537,"Not everything works , but the average is higher than in Mary and most other recent comedies ."
538,A byzantine melodrama that stimulates the higher brain functions as well as the libido .
539,A sensitive and expertly acted crowd-pleaser that is n't above a little broad comedy and a few unabashedly sentimental tears .
540,"The film 's sharp , often mischievous sense of humor will catch some off guard ..."
541,"Does what a fine documentary does best : It extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively ."
542,"Almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent ."
543,A psychologically rich and suspenseful moral thriller with a stellar performance by Al Pacino .
544,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all ."
545,"This version 's no classic like its predecessor , but its pleasures are still plentiful ."
546,The Bourne Identity is what summer screen escapism used to be in the decades when it was geared more to grownups .
547,Provide -LRB- s -RRB- nail-biting suspense and credible characters without relying on technology-of-the-moment technique or pretentious dialogue .
548,"If it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right ."
549,Too sincere to exploit its subjects and too honest to manipulate its audience .
550,The saturation bombing of Reggio 's images and Glass ' evocative music ... ultimately leaves viewers with the task of divining meaning .
551,For all its serious sense of purpose ... -LRB- it -RRB- finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .
552,"A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide ."
553,"This road movie gives you emotional whiplash , and you 'll be glad you went along for the ride ."
554,"Sure , it 's more of the same , but as the film proves , that 's not always a bad thing ."
555,"A lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love ."
556,"A bowel-curdling , heart-stopping recipe for terror ."
557,"Daughter from Danang is a film that should be seen by all , especially those who are n't aware of , or have forgotten about the unmentioned victims of war ."
558,"Zhang Yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones ."
559,... breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters . '
560,"... both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '"
561,A pleasant romantic comedy .
562,It 's a Count for our times .
563,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill"
564,"Smith 's point is simple and obvious -- people 's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers ."
565,"A romantic comedy , yes , but one with characters who think and talk about their goals , and are working on hard decisions ."
566,Vividly conveys both the pitfalls and the pleasures of over-the-top love .
567,"... a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway ."
568,A pro-fat farce that overcomes much of its excessive moral baggage thanks to two appealing lead performances .
569,"For the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride ."
570,"Majidi 's poetic love story is a ravishing consciousness-raiser , if a bit draggy at times ."
571,The smartest bonehead comedy of the summer .
572,Effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience .
573,I love the way that it took chances and really asks you to take these great leaps of faith and pays off .
574,"In his debut as a film director , Denzel Washington delivers a lean and engaging work ."
575,Only two words will tell you what you know when deciding to see it : Anthony .
576,Hopkins .
577,"The movie 's quiet affirmation of neighborhood values gives it an honest , lived-in glow ."
578,"A teasing drama whose relentless good-deed\/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation ."
579,Hayek is stunning as Frida and ... a star-making project .
580,It 's both a necessary political work and a fascinating documentary ...
581,"Hilarious , acidic Brit comedy ."
582,"As a revenge thriller , the movie is serviceable , but it does n't really deliver the delicious guilty pleasure of the better film versions ."
583,An ironic speculation on democracy in a culture unaccustomed to it .
584,"It 's not life-affirming -- its vulgar and mean , but I liked it ."
585,Several degrees shy of the gross-out contests one expects from current teen fare .
586,The inherent strength of the material as well as the integrity of the filmmakers gives this coming-of-age story restraint as well as warmth .
587,"Led by Griffin 's smartly nuanced performance and enthusiasm , the cast has a lot of fun with the material ."
588,Tuck Everlasting achieves a delicate balance of romantic innocence and philosophical depth .
589,"A gentle blend of present day testimonials , surviving footage of Burstein and his family performing , historical archives , and telling stills ."
590,"A Generation X artifact , capturing a brief era of insanity in the sports arena that surely can not last ."
591,"Possession is Elizabeth Barrett Browning meets Nancy Drew , and it 's directed by ... Neil LaBute ."
592,Hmm .
593,An uneven but intriguing drama that is part homage and part remake of the Italian masterpiece .
594,Windtalkers celebrates the human spirit and packs an emotional wallop .
595,"Having never been a huge fan of Dickens ' 800-page novel , it surprised me how much pleasure I had watching McGrath 's version ."
596,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates ."
597,"For all its failed connections , Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way ."
598,This is pretty dicey material .
599,But some unexpected zigs and zags help .
600,The filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .
601,"The laser-projected paintings provide a spell-casting beauty , while Russell and Dreyfus are a romantic pairing of hearts , preciously exposed as history corners them ."
602,You do n't have to be an especially tough grader to give a charitable B-minus to The Emperor 's Club .
603,"This romantic thriller is steeped in the atmosphere of wartime England , and ably captures the speech patterns , moral codes and ideals of the 1940s ."
604,"Divine Secrets of the Ya-Ya Sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances ."
605,"Viewed on its own terms , Treasure Planet is better-than-average family entertainment , but true fans of the Stevenson 's novel will likely prefer Disney 's more faithful 1950 live-action swashbuckling classic ."
606,"A journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance ."
607,Resourceful and ingenious entertainment .
608,"`` Antwone Fisher '' is an earnest , by-the-numbers effort by Washington ."
609,It wo n't rock any boats but is solid meat-and-potatoes filmmaking .
610,A historical epic with the courage of its convictions about both scope and detail .
611,"We need -LRB- Moore 's -RRB- noisy , cocky energy , his passion and class consciousness ; we need his shticks , we need his stones ."
612,"Although the editing might have been tighter , Hush !"
613,sympathetically captures the often futile lifestyle of young people in modern Japan .
614,"-LRB- Gai -RRB- comes closer to any actress I can remember to personifying independence in its purest and , yes , most intimidating form ."
615,"These are lives worth watching , paths worth following ."
616,"It 's rather like a Lifetime special -- pleasant , sweet and forgettable ."
617,A moody horror\/thriller elevated by deft staging and the director 's well-known narrative gamesmanship .
618,"As a singular character study , it 's perfect ."
619,It 's also the year 's sweetest movie .
620,"A graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined ."
621,"While not as aggressively impressive as its American counterpart , `` In the Bedroom , '' Moretti 's film makes its own , quieter observations"
622,The experience of watching blobby old-school CGI animation in this superlarge format is just surreal enough to be diverting .
623,Time Changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets
624,"`` The Emperor 's New Clothes '' begins with a simple plan ... Well , at least that 's the plan ."
625,Haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you 're not sure if you should applaud or look into having him committed .
626,"-LRB- Director Peter -RRB- Jackson and his crew have so steeped themselves in the majesty of Tolkien 's writing that every frame produces new joys , whether you 're a fan of the books or not ."
627,"While the glass slipper does n't quite fit , Pumpkin is definitely a unique modern fairytale ."
628,The drama is played out with such aching beauty and truth that it brings tears to your eyes .
629,"An exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world ."
630,"An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays ."
631,This version incarnates the prophetic book in a way even its exacting author might admire .
632,"Sometimes , nothing satisfies like old-fashioned swashbuckling ."
633,"And in this regard , On Guard delivers ."
634,"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion ."
635,"An impossible romance , but we root for the patronized Iranian lad ."
636,"Like Dickens with his passages , McGrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel ."
637,"There 's a disreputable air about the whole thing , and that 's what makes it irresistible ."
638,an exceedingly clever piece of cinema .
639,"another great ` what you do n't see ' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances"
640,A carefully structured scream of consciousness that is tortured and unsettling -- but unquestionably alive .
641,A quietly reflective and melancholy New Zealand film about an eventful summer in a 13-year-old girl 's life .
642,"Cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone ."
643,"very solid , very watchable first feature for director Peter Sheridan"
644,a budget affair that exposes the generally sad existence of the Bedouins while providing a precious twinkle of insight into their lives .
645,"It suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks ."
646,"Workmanlike , maybe , but still a film with all the elements that made the other three great , scary times at the movies ."
647,A pleasant enough comedy that should have found a summer place .
648,"Branagh , in his most forceful non-Shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit ."
649,"Though the violence is far less sadistic than usual , the film is typical Miike : fast , furious and full of off-the-cuff imaginative flourishes ."
650,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder ."
651,What it lacks in originality it makes up for in intelligence and B-grade stylishness .
652,The warm presence of Zhao Benshan makes the preposterous lying hero into something more than he reasonably should be .
653,"This is as powerful a set of evidence as you 'll ever find of why art matters , and how it can resonate far beyond museum walls and through to the most painfully marginal lives ."
654,Director Rob Marshall went out gunning to make a great one .
655,Skip work to see it at the first opportunity .
656,Bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores .
657,Offers enough playful fun to entertain the preschool set while embracing a wholesome attitude .
658,"In the end , Punch-Drunk Love is one of those films that I wanted to like much more than I actually did ."
659,"Sometimes , that 's enough ."
660,"An intimate , good-humored ethnic comedy like numerous others but cuts deeper than expected ."
661,Ice Cube holds the film together with an engaging and warm performance ...
662,Both deeply weird and charmingly dear .
663,"As blunt as it is in depicting child abuse , El Bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance ."
664,"Despite a story predictable enough to make The Sound of Music play like a nail-biting thriller , its heart is so much in the right place it is difficult to get really peeved at it ."
665,"An incredibly low-rent Danish film , it brings a group of people together in a sweet and charming way , if a little convenient"
666,"It 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep ."
667,Director Nalin Pan does n't do much to weigh any arguments one way or the other .
668,He simply presents his point of view that Ayurveda works .
669,No question .
670,What `` Empire '' lacks in depth it makes up for with its heart .
671,Claude Miller airs out a tight plot with an easy pace and a focus on character drama over crime-film complications .
672,"What Full Frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment ."
673,"Still , I 'm not quite sure what the point is ..."
674,"Rich in detail , gorgeously shot and beautifully acted , Les Destinees is , in its quiet , epic way , daring , inventive and refreshingly unusual ."
675,"-LRB- A -RRB- Hollywood sheen bedevils the film from the very beginning ... -LRB- but -RRB- Lohman 's moist , deeply emotional eyes shine through this bogus veneer ..."
676,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?
677,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier .
678,"The film 's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen ."
679,Do n't expect any surprises in this checklist of teamwork cliches ...
680,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn"
681,"The movie addresses a hungry need for PG-rated , nonthreatening family movies , but it does n't go too much further ."
682,"This warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics ."
683,A yarn that respects the Marvel version without becoming ensnared by it .
684,This is a happy throwback to the time when cartoons were cinema 's most idiosyncratic form instead of one of its most predictable .
685,"Complex , affecting and uniquely AlmodÃ³var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong ."
686,Good ol' urban legend stuff .
687,Not so much a movie as a picture book for the big screen .
688,"This is n't my favorite in the series , still I enjoyed it enough to recommend ."
689,It 's one of the most honest films ever made about Hollywood .
690,"It is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come ."
691,"On its own cinematic terms , it successfully showcases the passions of both the director and novelist Byatt ."
692,"Light , silly , photographed with colour and depth , and rather a good time ."
693,Pray 's film works well and will appeal even to those who are n't too familiar with turntablism .
694,Good movie .
695,Good actress .
696,"But if you expect light romantic comedy , good gosh , will you be shocked ."
697,It has the courage to wonder about big questions with sincerity and devotion .
698,"It risks seeming slow and pretentious , because it thinks the gamble is worth the promise ."
699,"With youthful high spirits , Tautou remains captivating throughout Michele 's religious and romantic quests , and she is backed by a likable cast ."
700,"It 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous Full Frontal ."
701,A very funny look at how another culture handles the process of courting and marriage .
702,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...
703,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .
704,Their computer-animated faces are very expressive .
705,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release ."
706,"Anchored by a terrific performance by Abbass , Satin Rouge shows that the idea of women 's self-actualization knows few continental divides ."
707,"Awkward but sincere and , ultimately , it wins you over ."
708,"Smith profiles five extraordinary American homes , and because the owners seem fully aware of the uses and abuses of fame , it 's a pleasure to enjoy their eccentricities ."
