Index,Comments
221,"Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,ham"
222,"Oh ok i didnt know what you meant. Yep i am baby jontin,ham"
223,"Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham"
224,"cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham"
225,"SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,ham"
226,"How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I’m knackered and i’m dreading work tonight. What are thou upto tonight. X,ham"
227,"Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ham"
228,"Mmm thats better now i got a roast down me! i’d b better if i had a few drinks down me 2! Good indian?,ham"
229,"YO YO YO BYATCH WHASSUP?,ham"
230,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ‘rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.,ham"
231,"ELLO BABE U OK?,ham"
232,"Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,ham"
233,"hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,ham"
234,"hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham"
235,"GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI,ham"
236,"CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X,ham"
237,"HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.,ham"
238,"WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,ham"
239,"NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT,ham"
240,"What are youdoing later? Sar xxx,ham"
241,"Im on gloucesterroad what are uup to later?,ham"
242,"Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?,ham"
243,"Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,ham"
244,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx,ham"
245,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?,ham"
246,"DO U WANT 2 MEET UP 2MORRO,ham"
247,"HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,ham"
248,"Ding me on ya break fassyole! Blacko from londn,ham"
249,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?,ham"
250,"Hi neva worry bout da truth coz the truth will lead me 2 ur heart. It’s the least a unique person like u deserve. Sleep tight or morning,ham"
251,"U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,ham"
252,"WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,ham"
253,"THAT’S ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DON’T WORRY.C U L8TR HUN!LOVE Yaxxx,ham"
254,"DO NOT B LATE LOVE MUM,ham"
255,"Where @,ham"
256,"Hi Petey!noi’m ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,ham"
257,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.,ham"
258,"Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,ham"
259,"Nah im goin 2 the wrks with j wot bout u?,ham"
260,"Im sorry bout last nite it wasn’t ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx,ham"
261,"Lmao!nice 1,ham"
262,"Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,ham"
263,"ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,ham"
264,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT,ham"
265,"CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,ham"
266,"G.W.R,ham"
267,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!,ham"
268,"No b4 Thursday,ham"
269,"HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,ham"
270,"HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,ham"
271,"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham"
272,"Have you had a good day? Mine was really busy are you up to much tomorrow night?,ham"
273,"Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,ham"
274,"make that 3! 4 fucks sake?! x,ham"
275,"ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,ham"
276,"WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,ham"
277,"No probs hon! How u doinat the mo?,ham"
278,"Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,ham"
279,"HI ITS KATE CAN U GIVE ME A RING ASAP XXX,ham"
280,"HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,ham"
281,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham"
282,"Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,ham"
283,"26th OF JULY,ham"
284,"hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,ham"
285,"Bugis oso near wat... ,ham"
286,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...,ham"
287,"I dunno until when... Lets go learn pilates...,ham"
288,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ,ham"
289,"Meet after lunch la...,ham"
290,"Yunny i'm walking in citylink now ü faster come down... Me very hungry...,ham"
291,"5 nights...We nt staying at port step liao...Too ex,ham"
292,"Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham"
293,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn,ham"
294,"Hey tmr maybe can meet you at yck,ham"
295,"Oh...i asked for fun. Haha...take care. ü,ham"
296,"We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham"
297,"I can. But it will tell quite long, cos i haven't finish my film yet...,ham"
298,"Haha... can... But i'm having dinner with my cousin...,ham"
299,"Oh... Kay... On sat right?,ham"
300,"I need... Coz i never go before ,ham"
301,"Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,ham"
302,"I am going to sao mu today. Will be done only at 12 ,ham"
303,"Hey gals...U all wanna meet 4 dinner at nìte? ,ham"
304,"Jos ask if u wana meet up?,ham"
305,"Haiyoh... Maybe your hamster was jealous of million,ham"
306,"is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham"
307,"Hey i've booked the pilates and yoga lesson already... Haha,ham"
308,"Yup... I havent been there before... You want to go for the yoga? I can call up to book ,ham"
309,"K... Must book a not huh? so going for yoga basic on sunday?,ham"
310,"Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,ham"
311,"Sat right? Okay thanks... ,ham"
312,"Yup... From what i remb... I think should be can book... ,ham"
313,"Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,ham"
314,"We can go 4 e normal pilates after our intro...  ,ham"
315,"Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,ham"
316,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...,ham"
317,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...,ham"
318,"Wah... Okie okie... Muz make use of e unlimited... Haha... ,ham"
319,"Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,ham"
320,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...,ham"
321,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ,ham"
322,"Nope... Juz off from work...,ham"
323,"Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham"
324,"Haha... Sounds crazy, dunno can tahan anot...,ham"
325,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ,ham"
326,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...,ham"
327,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...,ham"
328,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ,ham"
329,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...,ham"
330,"Oh oh... Den muz change plan liao... Go back have to yan jiu again...,ham"
331,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...,ham"
332,"Den wat will e schedule b lk on sun?,ham"
333,"Eh den sat u book e kb liao huh...,ham"
334,"Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,ham"
335,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham"
336,"Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,ham"
337,"Hey... are you going to quit soon? Xuhui and i working till end of the month ,ham"
338,"oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,ham"
339,"Hey so whats the plan this sat? ,ham"
340,"Can ü call me at 10:10 to make sure dat i've woken up...,ham"
341,"Hey i will be late ah... Meet you at 945+,ham"
342,"Hey tmr meet at bugis 930 ?,ham"
343,"Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,ham"
344,"Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,ham"
345,"Hey i've booked the 2 lessons on sun liao...,ham"
346,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...,ham"
347,"Oh... Okie lor...We go on sat... ,ham"
348,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ,ham"
349,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ,ham"
350,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...,ham"
351,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...,ham"
352,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?,ham"
353,"Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,ham"
354,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...,ham"
355,"Goin to workout lor... Muz lose e fats... ,ham"
356,"Yupz... I've oredi booked slots 4 my weekends liao... ,ham"
357,"I noe la... U wana pei bf oso rite... K lor, other days den...,ham"
358,"U meet other fren dun wan meet me ah... Muz b a guy rite...,ham"
359,"Oh... Icic... K lor, den meet other day...,ham"
360,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.,ham"
361,"U attend ur driving lesson how many times a wk n which day?,ham"
362,"Ay wana meet on sat?ü wkg on sat?,ham"
363,"Shopping? Eh ger i toking abt syd leh...Haha,ham"
364,"It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),ham"
365,"Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,ham"
366,"Okay... I booked all already... Including the one at bugis.,ham"
367,"Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,ham"
368,"Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,ham"
369,"Hey we can go jazz power yoga hip hop kb and yogasana ,ham"
370,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...,ham"
371,"Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,ham"
372,"Wa... U so efficient... Gee... Thanx...,ham"
373,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...,ham"
374,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...,ham"
375,"I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,ham"
376,"Until 545 lor... Ya, can go 4 dinner together...,ham"
377,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ,ham"
378,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...,ham"
379,"Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,ham"
380,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...,ham"
381,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May,ham"
382,"haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,ham"
383,"My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,ham"
384,"Hey... What time is your driving on fri? We go for evaluation on fri?,ham"
385,"Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,ham"
386,"Hey are we going for the lo lesson or gym? ,ham"
387,"Okay... We wait ah,ham"
388,"Hey come online! Use msn... We are all there,ham"
389,"Oh yah... We never cancel leh... Haha ,ham"
390,"K. Did you call me just now ah? ,ham"
391,"Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,ham"
392,"Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,ham"
393,"You want to go? ,ham"
394,"Kay... Since we are out already ,ham"
395,"Haha okay... Today weekend leh... ,ham"
396,"Haha... They cant what... At the most tmr forfeit... haha so how?,ham"
397,"Hey... Why dont we just go watch x men and have lunch... Haha ,ham"
398,"Haha... Really oh no... How? Then will they deduct your lesson tmr?,ham"
399,"Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,ham"
400,"Yunny... I'm goin to be late,ham"
401,"Ya! when are ü taking ure practical lessons? I start in june..  ,ham"
402,"Hey... Very inconvenient for your sis a not huh?,ham"
403,"Hey i will be late... i'm at amk. Need to drink tea or coffee,ham"
404,"Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham"
405,"Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,ham"
406,"Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,ham"
407,"Haha... Hope ü can hear the receipt sound... Gd luck!,ham"
408,"Huh? 6 also cannot? Then only how many mistakes?,ham"
409,"Nope... Think i will go for it on monday... Sorry i replied so late,ham"
410,"Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,ham"
411,"I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,ham"
412,"Hey gals.. Anyone of u going down to e driving centre tmr?,ham"
413,"Ok no prob,ham"
414,"Nope i waiting in sch 4 daddy... ,ham"
415,"Dunno lei he neva say...,ham"
416,"Ü called dad oredi...,ham"
417,"Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ,ham"
418,"Dad went out oredi... ,ham"
419,"Ü still attending da talks?,ham"
420,"Then she buying today? Ü no need to c meh...,ham"
421,"Yup i'm free...,ham"
422,"Nope... C ü then...,ham"
423,"Is fujitsu s series lifebook good?,ham"
424,"Is toshiba portege m100 gd?,ham"
425,"Yun buying... But school got offer 2000 plus only...,ham"
426,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...,ham"
427,"Okie... Thanx...,ham"
428,"How come i din c ü... Yup i cut my hair...,ham"
429,"No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,ham"
430,"Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,ham"
431,"Ok... C ya...,ham"
432,"Nope i'm not drivin... I neva develop da photos lei...,ham"
433,"I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham"
434,"645,ham"
435,"Ü dun need to pick ur gf?,ham"
436,"Okie...,ham"
437,"I'm at home n ready...,ham"
438,"Ok...,ham"
439,"Dunno lei... I thk mum lazy to go out... I neva ask her yet...,ham"
440,"Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,ham"
441,"Dun need to use dial up juz open da browser n surf...,ham"
442,"When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,ham"
443,"Can a not?,ham"
444,"Juz go google n search 4 qet...,ham"
445,"Wat time r ü going to xin's hostel?,ham"
446,"Ok...,ham"
447,"Huh means computational science... Y they like dat one push here n there...,ham"
448,"I not at home now lei...,ham"
449,"Eatin my lunch...,ham"
450,"Ü takin linear algebra today?,ham"
451,"Ü bot notes oredi... Cos i juz rem i got...,ham"
452,"Wah lucky man... Then can save money... Hee...,ham"
453,"Y so late but i need to go n get da laptop...,ham"
454,"Where to get those?,ham"
455,"Then cant get da laptop? My matric card wif ü lei... ,ham"
456,"I dunno they close oredi not... Ü v ma fan...,ham"
457,"Hi dis is yijue i would be happy to work wif ü all for gek1510...,ham"
458,"Ü comin to fetch us oredi...,ham"
459,"Got smaller capacity one? Quite ex...,ham"
460,"Ok thanx...,ham"
461,"Wat ü doing now?,ham"
462,"Got meh... When?,ham"
463,"Ü neva tell me how i noe... I'm not at home in da aft wat... ,ham"
464,"Mum ask ü to buy food home...,ham"
465,"Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?,ham"
466,"I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ,ham"
467,"Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,ham"
468,"Yup...,ham"
469,"I'm stuck in da middle of da row on da right hand side of da lt... ,ham"
470,"Black shirt n blue jeans... I thk i c ü...,ham"
471,"Not directly behind... Abt 4 rows behind ü...,ham"
472,"Ü go home liao? Ask dad to pick me up at 6...,ham"
473,"I'm done oredi...,ham"
474,"I wait 4 ü inside da car park...,ham"
475,"Yup... How ü noe leh...,ham"
476,"Oic... I saw him too but i tot he din c me... I found a group liao...,ham"
477,"Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,ham"
478,"How i noe... Did ü specify da domain as nusstu... Ü still in sch...,ham"
479,"When ü login dat time... Dad fetching ü home now?,ham"
480,"I come n pick ü up... Come out immediately aft ur lesson...,ham"
481,"Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,ham"
482,"Ü ready then call me...,ham"
483,"Ü still got lessons?  Ü in sch?,ham"
484,"Shall i get my pouch?,ham"
485,"I'm on da bus going home...,ham"
486,"I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? ,ham"
487,"Still at west coast... Haiz... Ü'll take forever to come back...,ham"
488,"R ü comin back for dinner?,ham"
489,"Eat at old airport road... But now 630 oredi... Got a lot of pple...,ham"
490,"Y bishan lei... I tot ü say lavender? ,ham"
491,"Free any day but i finish at 6 on mon n thurs...,ham"
492,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...,ham"
493,"But we havent got da topic yet rite?,ham"
494,"So can collect ur laptop?,ham"
495,"Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,ham"
496,"Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... ,ham"
497,"So ü pay first lar... Then when is da stock comin...,ham"
498,"What's ur pin?,ham"
499,"Ü collecting ur laptop then going to configure da settings izzit?,ham"
500,"Cos daddy arranging time c wat time fetch ü mah...,ham"
501,"Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,ham"
502,"So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,ham"
503,"How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,ham"
504,"Huh y lei...,ham"
505,"Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? ,ham"
506,"Havent still waitin as usual... Ü come back sch oredi?,ham"
507,"No break time one... How... I come out n get my stuff fr ü?,ham"
508,"Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,ham"
509,"I dunno lei... Like dun haf...,ham"
510,"I'm going out to buy mum's present ar.,ham"
511,"Havent shopping now lor i juz arrive only,ham"
512,"Beauty sleep can help ur pimples too.,ham"
513,"Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,ham"
514,"Then mum's repent how?,ham"
515,"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham"
516,"Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ham"
517,"Y ü wan to go there? C doctor?,ham"
518,"I'm wif him now buying tix lar...,ham"
519,"How much r ü willing to pay?,ham"
520,"Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,ham"
521,"I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,ham"
522,"Ok... Thanx... Gd nite 2 ü too...,ham"
523,"Wat uniform? In where get?,ham"
524,"Yup i've finished c ü there...,ham"
525,"Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...,ham"
526,"We're done...,ham"
527,"Anything lar...,ham"
528,"Go where n buy? Juz buy when we get there lar.,ham"
529,"Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham"
530,"Do u noe how 2 send files between 2 computers?,ham"
531,"I gotta collect da car at 6 lei.,ham"
532,"2 laptop... I noe infra but too slow lar... I wan fast one,ham"
533,"Dunno da next show aft 6 is 850. Toa payoh got 650.,ham"
534,"Tmr timin still da same wat cos i got lesson until 6...,ham"
535,"Wat time ü wan today?,ham"
536,"Aiya we discuss later lar... Pick ü up at 4 is it?,ham"
537,"I'm in a movie... Collect car oredi...,ham"
538,"I anything lor...,ham"
539,"Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,ham"
540,"Ok lor wat time ü finish?,ham"
541,"Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,ham"
542,"Ü v ma fan...,ham"
543,"Ü come lt 25 n pass to me lar,ham"
544,"Y lei?,ham"
545,"I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham"
546,"Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,ham"
547,"Auntie huai juan never pick up her phone,ham"
548,"I not free today i haf 2 pick my parents up tonite...,ham"
549,"Ok..,ham"
550,"Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar,ham"
551,"How come?,ham"
552,"Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,ham"
553,"Oh ok wait 4 me there... My lect havent finish,ham"
554,"I'm done...,ham"
555,"In da car park ,ham"
556,"Ü log off 4 wat. It's sdryb8i,ham"
557,"Ü thk of wat to eat tonight.,ham"
558,"Aiyo please ü got time meh.,ham"
559,"Can... I'm free...,ham"
560,"Ok.,ham"
561,"Anything lor. Juz both of us lor.,ham"
562,"Ok c ü then.,ham"
563,"I'll be late...,ham"
564,"Kent vale lor... Ü wait 4 me there ar?,ham"
565,"Ard 530 lor. I ok then message ü lor.,ham"
566,"I'm done. C ü there.,ham"
567,"staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham"
568,"Dunno lei shd b driving lor cos i go sch 1 hr oni.,ham"
569,"Ü wait 4 me in sch i finish ard 5..,ham"
570,"Ok can...,ham"
571,"Ü dun wan to watch infernal affair?,ham"
572,"Cos darren say ü considering mah so i ask ü...,ham"
573,"Ü mean it's confirmed... I tot they juz say oni... Ok then... ,ham"
574,"Me n him so funny...,ham"
575,"Anything lor is she coming?,ham"
576,"Ok lor. I'm in town now lei.,ham"
577,"With my sis lor... We juz watched italian job.,ham"
578,"C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,ham"
579,"Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,ham"
580,"If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.,ham"
581,"Can ü all decide faster cos my sis going home liao..,ham"
582,"Yup ü not comin :-(,ham"
583,"He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,ham"
584,"I jokin oni lar.. Ü busy then i wun disturb ü.,ham"
585,"Ok lor...,ham"
586,"I'm in a movie. Call me 4 wat?,ham"
587,"R ü going 4 today's meeting?,ham"
588,"Do ü noe if ben is going?,ham"
589,"Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,ham"
590,"Neva mind it's ok..,ham"
591,"So wat's da decision?,ham"
592,"Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,ham"
593,"Ok i juz receive..,ham"
594,"I borrow ur bag ok.,ham"
595,"Can. Dunno wat to get 4 her...,ham"
596,"Ok. But i finish at 6.,ham"
597,"I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,ham"
598,"Or i go home first lar ü wait 4 me lor.. I put down my stuff first..,ham"
599,"Ü predict wat time ü'll finish buying?,ham"
600,"Ok... But bag again..,ham"
601,"I only haf msn. It's yijue@hotmail.com,ham"
602,"I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,ham"
603,"Anything lar then ü not going home 4 dinner?,ham"
604,"When can ü come out?,ham"
605,"I havent lei.. Next mon can?,ham"
606,"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? ,ham"
607,"Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,ham"
608,"Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,ham"
609,"Ok lor but not too early. Me still having project meeting now.,ham"
610,"Ard 6 like dat lor.,ham"
